id,front,back,tag,deck
vocab-a-familia-relaciones-01,madre,mother,vocab>a-familia-relaciones,vocab
vocab-a-familia-relaciones-02,padre,father,vocab>a-familia-relaciones,vocab
vocab-a-familia-relaciones-03,hijo / hija,son / daughter,vocab>a-familia-relaciones,vocab
vocab-a-familia-relaciones-04,hermano / hermana,brother / sister,vocab>a-familia-relaciones,vocab
vocab-a-familia-relaciones-05,pareja,partner,vocab>a-familia-relaciones,vocab
vocab-a-familia-relaciones-06,esposo / esposa,husband / wife,vocab>a-familia-relaciones,vocab
vocab-a-familia-relaciones-07,novio / novia,boyfriend / girlfriend,vocab>a-familia-relaciones,vocab
vocab-a-familia-relaciones-08,amigo / amiga,friend,vocab>a-familia-relaciones,vocab
vocab-a-familia-relaciones-09,compañero de trabajo,coworker,vocab>a-familia-relaciones,vocab
vocab-a-familia-relaciones-10,bebé,baby,vocab>a-familia-relaciones,vocab
vocab-a-familia-relaciones-11,abuelo / abuela,grandfather / grandmother,vocab>a-familia-relaciones,vocab
vocab-a-familia-relaciones-12,nieto / nieta,grandson / granddaughter,vocab>a-familia-relaciones,vocab
vocab-a-familia-relaciones-13,primo / prima,cousin,vocab>a-familia-relaciones,vocab
vocab-a-familia-relaciones-14,sobrino / sobrina,nephew / niece,vocab>a-familia-relaciones,vocab
vocab-a-familia-relaciones-15,suegro / suegra,father-in-law / mother-in-law,vocab>a-familia-relaciones,vocab
vocab-a-familia-relaciones-16,cuñado / cuñada,brother-in-law / sister-in-law,vocab>a-familia-relaciones,vocab
vocab-a-familia-relaciones-17,padrino / madrina,godfather / godmother,vocab>a-familia-relaciones,vocab
vocab-a-familia-relaciones-18,boda,wedding,vocab>a-familia-relaciones,vocab
vocab-a-familia-relaciones-19,aniversario,anniversary,vocab>a-familia-relaciones,vocab
vocab-a-familia-relaciones-20,compromiso,engagement,vocab>a-familia-relaciones,vocab
vocab-a-familia-relaciones-21,llevarse bien,to get along well,vocab>a-familia-relaciones,vocab
vocab-a-familia-relaciones-22,discutir,to argue,vocab>a-familia-relaciones,vocab
vocab-a-familia-relaciones-23,apoyo,support,vocab>a-familia-relaciones,vocab
vocab-a-familia-relaciones-24,confianza,trust,vocab>a-familia-relaciones,vocab
