id,front,back,tag,deck
vocab-a-hogar-alojamiento-01,la casa,the house,vocab>a-hogar-alojamiento,vocab
vocab-a-hogar-alojamiento-02,el apartamento,the apartment,vocab>a-hogar-alojamiento,vocab
vocab-a-hogar-alojamiento-03,la habitación,room,vocab>a-hogar-alojamiento,vocab
vocab-a-hogar-alojamiento-04,el dormitorio,bedroom,vocab>a-hogar-alojamiento,vocab
vocab-a-hogar-alojamiento-05,la sala,living room,vocab>a-hogar-alojamiento,vocab
vocab-a-hogar-alojamiento-06,la cocina,kitchen,vocab>a-hogar-alojamiento,vocab
vocab-a-hogar-alojamiento-07,el cuarto de baño,bathroom,vocab>a-hogar-alojamiento,vocab
vocab-a-hogar-alojamiento-08,la terraza,terrace,vocab>a-hogar-alojamiento,vocab
vocab-a-hogar-alojamiento-09,el pasillo,hallway,vocab>a-hogar-alojamiento,vocab
vocab-a-hogar-alojamiento-10,los muebles,furniture,vocab>a-hogar-alojamiento,vocab
vocab-a-hogar-alojamiento-11,la nevera,refrigerator,vocab>a-hogar-alojamiento,vocab
vocab-a-hogar-alojamiento-12,la lavadora,washing machine,vocab>a-hogar-alojamiento,vocab
vocab-a-hogar-alojamiento-13,el horno,oven,vocab>a-hogar-alojamiento,vocab
vocab-a-hogar-alojamiento-14,la calefacción,heating,vocab>a-hogar-alojamiento,vocab
vocab-a-hogar-alojamiento-15,el aire acondicionado,air conditioning,vocab>a-hogar-alojamiento,vocab
vocab-a-hogar-alojamiento-16,la llave,key,vocab>a-hogar-alojamiento,vocab
vocab-a-hogar-alojamiento-17,el timbre,doorbell,vocab>a-hogar-alojamiento,vocab
vocab-a-hogar-alojamiento-18,el ascensor,elevator,vocab>a-hogar-alojamiento,vocab
vocab-a-hogar-alojamiento-19,las escaleras,stairs,vocab>a-hogar-alojamiento,vocab
vocab-a-hogar-alojamiento-20,el vecino,neighbor,vocab>a-hogar-alojamiento,vocab
vocab-a-hogar-alojamiento-21,la mudanza,move,vocab>a-hogar-alojamiento,vocab
vocab-a-hogar-alojamiento-22,amueblado,furnished,vocab>a-hogar-alojamiento,vocab
vocab-a-hogar-alojamiento-23,luminoso,bright,vocab>a-hogar-alojamiento,vocab
vocab-a-hogar-alojamiento-24,espacioso,spacious,vocab>a-hogar-alojamiento,vocab
vocab-a-hogar-alojamiento-25,el contrato de alquiler,lease agreement,vocab>a-hogar-alojamiento,vocab
