id,front,back,tag,deck
vocab-a-vida-diaria-01,hola,hello,vocab>a-vida-diaria,vocab
vocab-a-vida-diaria-02,buenos días,good morning,vocab>a-vida-diaria,vocab
vocab-a-vida-diaria-03,buenas tardes,good afternoon,vocab>a-vida-diaria,vocab
vocab-a-vida-diaria-04,buenas noches,good evening / good night,vocab>a-vida-diaria,vocab
vocab-a-vida-diaria-05,por favor,please,vocab>a-vida-diaria,vocab
vocab-a-vida-diaria-06,gracias,thank you,vocab>a-vida-diaria,vocab
vocab-a-vida-diaria-07,muchas gracias,thank you very much,vocab>a-vida-diaria,vocab
vocab-a-vida-diaria-08,perdón,excuse me,vocab>a-vida-diaria,vocab
vocab-a-vida-diaria-09,lo siento,I'm sorry,vocab>a-vida-diaria,vocab
vocab-a-vida-diaria-10,disculpe,pardon me,vocab>a-vida-diaria,vocab
vocab-a-vida-diaria-11,¿Puede ayudarme?,Can you help me?,vocab>a-vida-diaria,vocab
vocab-a-vida-diaria-12,¿Puede repetirlo?,Could you repeat it?,vocab>a-vida-diaria,vocab
vocab-a-vida-diaria-13,¿Puede hablar más despacio?,Could you speak more slowly?,vocab>a-vida-diaria,vocab
vocab-a-vida-diaria-14,¿Dónde está...?,Where is...?,vocab>a-vida-diaria,vocab
vocab-a-vida-diaria-15,el baño,the bathroom,vocab>a-vida-diaria,vocab
vocab-a-vida-diaria-16,la cuenta,the check / bill,vocab>a-vida-diaria,vocab
vocab-a-vida-diaria-17,¿Cuánto cuesta?,How much does it cost?,vocab>a-vida-diaria,vocab
vocab-a-vida-diaria-18,abierto,open,vocab>a-vida-diaria,vocab
vocab-a-vida-diaria-19,cerrado,closed,vocab>a-vida-diaria,vocab
vocab-a-vida-diaria-20,temprano,early,vocab>a-vida-diaria,vocab
vocab-a-vida-diaria-21,tarde,late,vocab>a-vida-diaria,vocab
vocab-a-vida-diaria-22,a la derecha,to the right,vocab>a-vida-diaria,vocab
vocab-a-vida-diaria-23,a la izquierda,to the left,vocab>a-vida-diaria,vocab
vocab-a-vida-diaria-24,cerca,near,vocab>a-vida-diaria,vocab
vocab-a-vida-diaria-25,lejos,far,vocab>a-vida-diaria,vocab
