id,front,back,tag,deck
vocab-a-arquitectura-sostenible-01,arquitectura bioclimática,bioclimatic architecture,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-02,fachada ventilada,ventilated façade,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-03,aislamiento térmico,thermal insulation,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-04,cubierta verde,green roof,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-05,panel solar fotovoltaico,photovoltaic solar panel,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-06,aerotermia,air-source heat pump technology,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-07,geotermia,geothermal system,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-08,recuperación de aguas grises,greywater recovery,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-09,huella de carbono,carbon footprint,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-10,certificación energética,energy certification,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-11,mobiliario urbano,street furniture,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-12,urbanismo táctico,tactical urbanism,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-13,corredor verde,green corridor,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-14,densidad residencial,residential density,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-15,uso mixto,mixed-use zoning,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-16,gentrificación,gentrification,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-17,rehabilitación integral,full refurbishment,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-18,eficiencia energética,energy efficiency,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-19,hormigón reciclado,recycled concrete,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-20,madera laminada cruzada,cross-laminated timber,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-21,análisis de ciclo de vida,life cycle assessment,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-22,sombreado pasivo,passive shading,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-23,orientación solar,solar orientation,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-24,ventilación cruzada,cross ventilation,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-25,transporte multimodal,multimodal transport,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-26,resiliencia urbana,urban resilience,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-27,participación vecinal,community participation,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-28,plan maestro,master plan,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-29,normativa urbanística,zoning regulation,vocab>arquitectura-sostenible,vocab
vocab-a-arquitectura-sostenible-30,vivienda asequible,affordable housing,vocab>arquitectura-sostenible,vocab
